id,name,description,icon,type,attackComponentIDs,filterAttackIDs
0,화염검,공격이 화상효과를 입힙니다,,,0,
1,얼음결정,얼음 태그 공격들의 범위가 증가합니다,,,1,
2,용사의 가호,원소부여 스킬이 천상 강림으로 바뀝니다,,,2,101
3,양손잡이,원소부여 스킬의 쿨타임이 감소합니다. 방패 밀쳐내기의 범위가 양방향으로 변합니다.,,,3|4,101|102
720001,@화염 전용,[화염] 공격은 적용되지 않아야 합니다!,,,,
720002,@용사의 창,[범위] 공격이 폭발하여 나누어집니다.,,,720001,720001
720003,죽음을 초월한 용사,체력이 1 이하로 떨어지는 순간 3초 동안 무적 상태가 되고 체력을 20프로 회복합니다. 이후 게임이 끝날 때까지 속성 부여 스킬의 쿨타임이 2초 감소합니다.,,,10001,
720004,RAC002,방패 밀쳐내기의 범위가 줄어들고 넉백이 사라집니다. 쿨타임이 [#]초로 감소합니다. 기본공격을 더 이상 사용할 수 없습니다,Icon_Potion01_Blue.png,,10002,10001
720005,RAC003,방패 돌진이 방어력에 비례하는 추가 피해를 입힙니다,Icon_Potion01_Blue.png,,10003,10002
720006,RAC004,전장의 포효가 사용자의 체력을 일부 회복시킵니다,Icon_Potion01_Blue.png,,10004,10003
720007,RAC005,속성 부여가 무작위 속성을 부여하는 대신 천상 속성을 부여합니다,Icon_Potion01_Blue.png,,10005,10004
720008,RAC006,속성이 부여되면 공격할 때마다 전방으로 해당 속성의 검기를 발사합니다,RAC006.png,,10006,1001
720009,RAC007,속성이 부여되는 동안 함께 전투를 도와주는 해당 속성의 정령이 소환됩니다,RAC007.png,,10007,10006
720010,RAC008,속성 부여 상태에서 적을 죽일 때마다 지속시간이 0.1초 증가합니다,RAC008.png,,10008,1001
720011,RAC009,속성 부여 스킬을 사용할 때마다 자신의 주위를 공전하는 별을 생성합니다. 별에 닿을 때마다 적은 피해를 받습니다,RAC009.png,,10009,1001
720012,RAC010,속성 부여가 번개 속성로 고정됩니다. 번개 속성이 부여됐을 때 공격속도가 크게 증가합니다,RAC010.png,,10010,1001
720013,RAC011,속성 부여가 불 속성으로 고정됩니다. 화상을 입은 적이 다시 화상을 입는 경우 남은 화상 피해량의 20퍼센트를 즉시 입으며 화상의 지속시간이 초기화됩니다.,RAC011.png,,10011,1001
720014,RAC012,속성부여가 얼음 속성으로 고정됩니다. 둔화가 걸린 적이 다시 둔화에 걸리는 경우 해당 적의 방어력이 감소합니다.,RAC012.png,,10012,1001
101,물의 정령 소환,전투를 도와주는 정령을 소환합니다. 1초에 플레이어 마력의 10% 데미지를 주는 유도 공격을 발사합니다.,Relic101.png,normal,,
102,완벽주의자,"체력이 100%일 경우, 공격력이 지속적으로 증가합니다. 체력이 100%미만일 경우, 증가한 공격력이 초기화됩니다. 이 효과는 전투 종료시 초기화됩니다.",Relic102.png,normal,,
103,멈춰!,"카드 슬롯 수가 1 증가합니다. [무효] 카드가 랜덤 위치에 장착됩니다.[무효] : 카드가 트리거 되면, 이 이후의 카드는 트리거 되지 않습니다.",Relic103.png,curse,,
104,용사의 검,"공격력이 10% 증가합니다. [용사의 방패] 유물과 같이 장착될 경우, 공격력이 100% 더 증가합니다.",Relic104.png,normal,,
105,용사의 방패,"방어력이 10% 증가합니다. [용사의 검] 유물과 같이 장착될 경우, 방어력이 100% 더 증가합니다.",Relic105.png,normal,,
106,저격수의 눈,치명타 확률이 10% 증가합니다.,Relic106.png,normal,,
107,전장의 깃발,"전투 시작 후, 20초간 공격력이 30% 증가합니다.",Relic107.png,normal,,
108,저주의 거울,"플레이어가 입은 데미지 만큼의 데미지를 적에게 입힙니다. 단, 엘리트, 보스에는 적용되지 않습니다.",Relic108.png,normal,,
109,금빛 나뭇잎,적 처치시 10% 확률로 추가 1골드가 드랍됩니다.,Relic109.png,normal,,
110,심판자의 검,"플레이어가 공격을 맞출경우, 1% 확률로 적 처치 시 발생되는 유물, 카드의 효과가 발생됩니다.",Relic110.png,normal,,
111,질주의 심장,유물 획득 시마다 공격속도가 10% 증가합니다. 단 이 유물로 증가된 공격속도는 최대 200%입니다.,Relic111.png,normal,,
112,뒤틀린 신발,"플레이어가 뒤로 움직입니다. 단, 플레이어가 조작하는 방향의 반대 방향으로 움직입니다.",Relic112.png,normal,,
113,생명의 샘물,"매 전투 종료 시, HP가 전체 HP의 10%만큼 회복합니다.",Relic113.png,normal,,
114,날개달린 신발,"전투가 시작할 때, 이동속도를 10% 증가시킵니다.",Relic114.png,normal,,
115,사냥꾼의 본능,"적을 처치할 때마다, 3초 동안 이동속도가 20% 증가하고, 공격속도가 20% 증가합니다. 이 효과는 중첩되지 않습니다.",Relic115.png,normal,,
116,역전의 성배,"이 유물을 획득하는 순간, 공격력과 마력의 값이 뒤바뀝니다.",Relic116.png,normal,,
117,피의 맹세,"플레이어가 피해를 입을 때마다, 공격력과 마력이 1 증가합니다.",Relic117.png,normal,,
118,인내의 사슬,전투 시작 시 공격 속도가 50% 감소합니다. 플레이어의 공격이 적중할 때마다 공격 속도가 1% 증가합니다. 이 효과는 최대 100회 발동합니다.,Relic118.png,normal,,
119,수정구,"전투 시작 후, 20초간 마력이 30% 증가합니다.",Relic119.png,normal,,
120,핀볼,"전투 시작 후, 스크린 모서리에 튕기는 공격을 생성합니다. 해당 공격은 플레이어의 공격력의 5% 데미지를 입힙니다.",Relic120.png,normal,,
